,pid,fid,cid,provid,countyid,urban,intyear,genderm,birthyr,age,b_feed_mon,board_school,verbal,math,school_tut_hrs,comp_tut_hrs,hobby_tut_hrs,int_tut_hrs,parent_child_tut_hrs,other_tut_hrs,fam_member_tut_hrs1,fam_member_tut_hrs2,fam_member_tut_hrs3,fam_member_tut_hrs4,fam_member_tut_hrs5,fam_member_tut_hrs6,fam_member_tut_hrs7,fam_member_tut_hrs8,fam_member_tut_hrs9,fam_member_tut_hrs10,fam_member_tut_hrs11,fam_member_tut_hrs12,fam_member_tut_hrs31,pid_f,pid_m,fid_m,cid_m,provid_m,countyid_m,hhcode_m,urban_m,intyear_m,genderm_m,birthyr_m,age_m,hukou_m,ccp_m,ccp_year_m,marital_m,first_marriage_m,year_married_m,year_divorced_m,salary_m,fid_f,cid_f,provid_f,countyid_f,hhcode_f,urban_f,intyear_f,genderm_f,birthyr_f,age_f,hukou_f,ccp_f,ccp_year_f,marital_f,first_marriage_f,year_married_f,year_divorced_f,salary_f
0,103924504.0,103924.0,286727.0,13.0,261.0,1.0,2018.0,1.0,2011.0,7.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,5.0,-8.0,-8.0,-8.0,7.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,103924503.0,220098103.0,103924.0,286727.0,13.0,261.0,103.0,1.0,2018.0,0.0,-8.0,36.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,3800.0,103924.0,,,,503.0,-9.0,2018.0,1.0,,36.0,,-8.0,,,,,,
0,103924504.0,103924.0,142715.0,13.0,261.0,1.0,,1.0,2011.0,5.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,8.0,-8.0,3.0,-8.0,-8.0,-8.0,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,,,,,-8.0,103924503.0,220098103.0,103924.0,142715.0,13.0,261.0,103.0,1.0,2016.0,0.0,1982.0,34.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,103924.0,142715.0,13.0,261.0,503.0,1.0,2016.0,1.0,1982.0,34.0,1.0,1.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
1,108476552.0,108476.0,-9.0,37.0,1652.0,1.0,2018.0,1.0,2014.0,4.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,0.5,-8.0,-8.0,-8.0,-8.0,,,,,,,,,108476551.0,370212103.0,108476.0,,37.0,1652.0,103.0,1.0,2018.0,0.0,1987.0,31.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,3100.0,108476.0,,37.0,1652.0,551.0,1.0,2018.0,1.0,-8.0,32.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,6000.0
1,108476552.0,108476.0,-9.0,37.0,7498.0,-9.0,,1.0,2014.0,3.0,6.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,-8.0,108476551.0,370212103.0,108476.0,796475.0,37.0,7498.0,103.0,0.0,2017.0,0.0,1987.0,30.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,3000.0,108476.0,796475.0,37.0,7498.0,551.0,0.0,2017.0,1.0,1986.0,31.0,-8.0,1.0,2016.0,2.0,1.0,2013.0,-8.0,5600.0
2,110026103.0,110026.0,118300.0,11.0,45.0,1.0,2016.0,1.0,2005.0,11.0,-8.0,0.0,1.0,1.0,2.0,-8.0,1.5,-8.0,-8.0,-8.0,3.0,6.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,110026102.0,110026101.0,110026.0,118300.0,11.0,45.0,101.0,1.0,2016.0,0.0,1977.0,39.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110026.0,118300.0,11.0,45.0,102.0,1.0,2016.0,1.0,1973.0,43.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,15000.0
2,110026103.0,110026.0,118300.0,11.0,45.0,1.0,2018.0,1.0,2005.0,13.0,15.0,1.0,1.0,1.0,-8.0,-8.0,2.0,-8.0,-8.0,2.0,0.1,-8.0,-8.0,-8.0,-8.0,,,,,,,,,110026102.0,110026101.0,110026.0,118300.0,11.0,45.0,101.0,1.0,2018.0,0.0,-8.0,41.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,8000.0,110026.0,118300.0,11.0,45.0,102.0,1.0,2018.0,1.0,-8.0,45.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,15000.0
3,110047103.0,110047.0,118200.0,11.0,45.0,1.0,2016.0,1.0,2003.0,13.0,-8.0,0.0,1.0,1.0,5.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,110047101.0,110047102.0,110047.0,118200.0,11.0,45.0,102.0,1.0,2016.0,0.0,1977.0,39.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110047.0,118200.0,11.0,45.0,101.0,1.0,2016.0,1.0,1956.0,60.0,1.0,1.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
3,110047103.0,110047.0,-9.0,43.0,1911.0,1.0,2018.0,1.0,2003.0,15.0,12.0,1.0,1.0,1.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,,,,,,,,,110047101.0,110047102.0,110047.0,,43.0,1911.0,102.0,1.0,2018.0,0.0,-8.0,41.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,110047.0,,43.0,1911.0,101.0,1.0,2018.0,1.0,-8.0,62.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
4,110051521.0,576080.0,-9.0,11.0,170.0,1.0,2018.0,1.0,2013.0,5.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,2.5,-8.0,-8.0,-8.0,7.0,7.0,-8.0,-8.0,-8.0,,,,,,,,,159466501.0,110051104.0,576080.0,,11.0,170.0,104.0,1.0,2018.0,0.0,1986.0,32.0,,0.0,-8.0,2.0,-8.0,-8.0,-8.0,3500.0,576080.0,,11.0,170.0,501.0,1.0,2018.0,1.0,-8.0,33.0,,-8.0,-8.0,2.0,-8.0,-8.0,-8.0,8000.0
4,110051521.0,159466.0,529746.0,11.0,170.0,1.0,,1.0,2013.0,3.0,-8.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,159466501.0,110051104.0,159466.0,529746.0,11.0,170.0,104.0,1.0,2016.0,0.0,1986.0,30.0,1.0,0.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0,159466.0,529746.0,11.0,170.0,501.0,1.0,2016.0,1.0,1985.0,31.0,1.0,1.0,-8.0,2.0,-8.0,-8.0,-8.0,-8.0
